setting,system,method,method_label,seed,noise,sparse_factor,equation,candidate_id,threshold,support_size,rss,bic,ebic,active_terms,coefficients,n_regression_rows,n_library_terms,delta_ebic_from_best,true_support_size,true_active_terms,support_f1,coef_error,exact_support,exact_k
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,4,0.003,5,4.7907786587667935,-956.1519603315907,-950.6225312440793,1;2;6;7;8,"[0.0, 0.03848689836054854, 1.012769037037037, 0.0, 0.0, 0.0, -0.00693336266833726, 0.011252934216595054, -0.01570923840090301, 0.0]",249,10,15.755356930716289,1,2,0.3333333333333333,0.04545074113563531,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,3,0.001,8,4.784719321421415,-939.91473411959,-936.1080716298196,0;1;2;3;6;7;8;9,"[-0.0035883473272637447, 0.03806795247471078, 0.9950773880020013, 0.0018354126489613998, 0.0, 0.0, -0.006200885066424966, 0.020094631191743043, -0.02202050686052459, 0.0023741164454341383]",249,10,30.269816544975924,1,2,0.2222222222222222,0.04921819196458565,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,1,0.0001,9,4.784559380462294,-934.4056047969422,-932.1030197039481,0;1;2;3;4;6;7;8;9,"[-0.0035747641019199766, 0.037906717505497955, 0.9950763743677127, 0.0018214145594632294, -0.000563557195312464, 0.0, -0.0061624374613476335, 0.020060726427031456, -0.022036112844194083, 0.002374826263512039]",249,10,34.27486847084742,1,2,0.2,0.0490837433048038,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,0,0.0,10,4.7845557291673355,-928.8883419227386,-928.8883419227386,0;1;2;3;4;5;6;7;8;9,"[-0.0031418092964511893, 0.03790263002006045, 0.9950893565860495, 0.0017064304849368499, -0.0004057602189485977, -8.055153157054105e-05, -0.006160405396757706, 0.020065525046309325, -0.022033968766519106, 0.0023721947333543514]",249,10,37.489546252056925,1,2,0.18181818181818182,0.049044640474058265,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,9,1.0,2,570.0892496202733,217.2915733595339,221.09823584930425,2;7,"[0.0, 0.0, 1.9261218942140206, 0.0, 0.0, 0.0, 0.0, -1.9187823772150256, 0.0, 0.0]",249,10,1076.2807178536673,3,1;2;7,0.8,0.33533636127946503,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,7,0.1,3,7.869245267981847,-843.6158351994277,-838.8283434566456,1;2;7,"[0.0, -1.002869993250467, 1.947983486829679, 0.0, 0.0, 0.0, 0.0, -1.953219527919756, 0.0, 0.0]",249,10,16.354138547717525,3,1;2;7,1.0,0.02333896853787291,1,1
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,6,0.03,5,7.028591484281977,-860.7119110918745,-855.1824820043631,1;2;7;8;9,"[0.0, -1.0282708799007543, 2.1684319859032497, 0.0, 0.0, 0.0, 0.0, -2.0678776820608675, 0.08445658430138137, -0.03053304046412534]",249,10,0.0,3,1;2;7,0.75,0.06818368771966231,0,0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,0,0.0,10,6.689520497617298,-845.4362351834573,-845.4362351834573,0;1;2;3;4;5;6;7;8;9,"[0.11549122590551265, -0.9780286023999826, 2.1878926315102056, -0.03248491741602806, 0.03997802663820517, -0.022099754044689373, -0.01440409060759913, -2.064560769839867, 0.08109157781166203, -0.032481057625262766]",249,10,9.746246820905867,3,1;2;7,0.46153846153846156,0.08450703591793855,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,9,1.0,0,2800.325193155143,1008.4330073134099,1008.4330073134099,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,3312.653670898978,1,2,0.0,1.0,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,5,0.01,1,195.9175502413476,-2306.5232486785617,-2304.2206635855678,2,"[0.0, 0.0, 0.9979882978395431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,1,2,1.0,0.002011702160456874,1,1
