system,method,noise,mean,sd,n,median,maximum,axis,axis_value,sparse_factor
fisher_kpp,pod_edmd_rbf,,0.04036240108982826,0.03046928949020459,40,0.035824061113044495,0.1170245835784782,sparse_factor,32.0,32.0
fisher_kpp,pydmd_optdmd,,0.030101351733925218,0.018247122062754598,40,0.03730865980698565,0.0636412598645434,sparse_factor,4.0,4.0
fisher_kpp,pydmd_optdmd,,0.032062816084960435,0.01921057492854487,40,0.03736061918774885,0.0748793464422964,sparse_factor,8.0,8.0
fisher_kpp,pydmd_optdmd,,0.031082051917456235,0.017918252626181207,39,0.0377320538022724,0.0616806617797996,sparse_factor,16.0,16.0
fisher_kpp,pydmd_optdmd,,0.0331869040969007,0.019251135748959067,40,0.04019739060535255,0.0757108644446869,sparse_factor,32.0,32.0
lorenz63,baseline,,0.1700815953211801,0.18506945449184697,50,0.1063274285740098,1.2671146662706718,sparse_factor,8.0,8.0
lorenz63,baseline,,0.5223384412403127,0.27187969265569223,50,0.36681444246405437,1.3778523197301358,sparse_factor,16.0,16.0
lorenz63,baseline,,1.1629373380329697,0.2732559723915151,50,1.1810211555714756,2.134592614758955,sparse_factor,32.0,32.0
lorenz63,baseline,,1.061955965794805,0.1111644334430407,50,1.0284570807536606,1.527315973819866,sparse_factor,64.0,64.0
lorenz63,edmd_poly3,,0.07228996997545059,0.19741787601785732,50,0.020364844078861348,1.3397458351231062,sparse_factor,8.0,8.0
lorenz63,edmd_poly3,,0.18057591963228564,0.3670946487935443,50,0.034712320812527855,1.6158743249432337,sparse_factor,16.0,16.0
lorenz63,edmd_poly3,,1.4349568178077763,0.76851883344618,50,1.3030533146640417,2.72372841969358,sparse_factor,32.0,32.0
lorenz63,edmd_poly3,,1.2551128364716408,0.4721709709658593,50,1.0720676276535268,3.987278514195898,sparse_factor,64.0,64.0
lorenz63,edmd_rbf,,0.08380723020176736,0.1510266856197418,50,0.0175440260190713,0.6298359709236231,sparse_factor,8.0,8.0
lorenz63,edmd_rbf,,0.28644803601043645,0.47830371845041,50,0.04703058961423215,1.5833838650026957,sparse_factor,16.0,16.0
lorenz63,edmd_rbf,,1.309086702528966,0.4702237497673022,50,1.2953013726804512,2.5182382189688504,sparse_factor,32.0,32.0
lorenz63,edmd_rbf,,1.3616188491442858,0.38985519759430864,50,1.3119360213913764,3.2311180716294507,sparse_factor,64.0,64.0
vanderpol_mu2,baseline,,0.031168282812485525,0.03691362536215756,50,0.01415008737924075,0.1298198454302936,sparse_factor,8.0,8.0
vanderpol_mu2,baseline,,0.05059768910946529,0.03425565742396268,50,0.032205548099444245,0.1686511812587527,sparse_factor,16.0,16.0
vanderpol_mu2,baseline,,0.13157578950120313,0.043868681382439545,50,0.1107091474250589,0.2644624217456497,sparse_factor,32.0,32.0
vanderpol_mu2,baseline,,0.5738084910034081,0.15786495114709684,50,0.6208766488476078,0.8159493937654624,sparse_factor,64.0,64.0
vanderpol_mu2,edmd_poly3,,0.010416546846848613,0.012730901567901179,50,0.00634953800309075,0.0549019526732783,sparse_factor,8.0,8.0
vanderpol_mu2,edmd_poly3,,0.014295576674947302,0.014341494147446154,50,0.00801246307668055,0.0509755407600339,sparse_factor,16.0,16.0
vanderpol_mu2,edmd_poly3,,0.027235127006334344,0.046428014846091624,50,0.01670244252903495,0.3168562321032815,sparse_factor,32.0,32.0
vanderpol_mu2,edmd_poly3,,0.04279221321537866,0.030504703218053042,50,0.030416673894198998,0.1473555705462135,sparse_factor,64.0,64.0
vanderpol_mu2,edmd_rbf,,0.0277751903733349,0.06585820633346115,50,0.00611978413559305,0.3542636167248399,sparse_factor,8.0,8.0
vanderpol_mu2,edmd_rbf,,0.03777989271831396,0.13592072728901936,50,0.01099150578067965,0.9557891629593598,sparse_factor,16.0,16.0
vanderpol_mu2,edmd_rbf,,0.038901074196543185,0.05840293619495159,50,0.01894739103524765,0.3375376977348516,sparse_factor,32.0,32.0
vanderpol_mu2,edmd_rbf,,0.1166394524064112,0.17289520274846656,50,0.027965754351693253,0.8055103192434255,sparse_factor,64.0,64.0
