system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,6,5,0.7,0.052949811944897424,0.6647990170652427,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,6,5,0.875,0.0660315862090587,0.8208011951236914,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.1,7,1,0.6666666666666666,0.5372027562073239,0.4336881806740351,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,7,5,0.8235294117647058,0.11632660583660155,0.737713682948131,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,7,5,0.875,0.10974121990747443,0.7884721089056724,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.1,8,1,0.8,0.1765601785342936,0.6799482207502591,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,8,5,0.8235294117647058,0.07384022012723608,0.7669012543291853,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,8,5,0.875,0.0767500789462513,0.8126305417653726,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.1,9,1,0.56,0.43010844536337395,0.39157869587834687,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,9,5,0.875,0.0901622215503831,0.80263284005165,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,9,5,0.5384615384615384,0.5833034438020892,0.34008739169321567,0.1,ok
lorenz63,baseline,Baseline,16,0.08,0.0,0,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,0,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,0,5,1.0,0.012714290001620112,0.987445333667011,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,1,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,1,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,1,5,0.875,0.033922080986364796,0.8462920137707548,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,2,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,2,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,2,5,1.0,0.01010886634801198,0.9899923001522004,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,3,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,3,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,3,5,0.9230769230769231,0.08497226343088643,0.8507838902332675,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,4,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,4,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,4,5,1.0,0.007997381296753326,0.9920660693716635,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,5,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,5,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,5,5,1.0,0.009861358005576516,0.9902349387592648,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,6,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,6,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,6,5,1.0,0.008833314328219037,0.9912440299078533,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,7,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,7,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,7,5,1.0,0.013742850174059776,0.9864434553874288,0.3,ok
lorenz63,baseline,Baseline,16,0.08,0.0,8,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,8,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,8,5,0.9333333333333333,0.023307262608016903,0.9120753535498473,0.1,ok
lorenz63,baseline,Baseline,16,0.08,0.0,9,1,0.9333333333333333,0.36042869300369007,0.6860582536469639,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,9,5,0.9333333333333333,0.012882526635063802,0.921462567267298,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,9,5,0.9333333333333333,0.015895539545228928,0.9187296301656616,0.1,ok
lorenz63,baseline,Baseline,16,0.08,0.01,0,1,0.9333333333333333,0.3556882932882599,0.688457175557301,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,0,5,1.0,0.010594828972880334,0.9895162446223394,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,0,5,0.9333333333333333,0.02388170853382535,0.9115636362620881,0.1,ok
lorenz63,baseline,Baseline,16,0.08,0.01,1,1,1.0,0.35203556327264035,0.7396255151598762,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,1,5,1.0,0.0027551446664723232,0.9972524252993099,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,1,5,0.875,0.01961747240759464,0.8581649723340722,0.1,ok
lorenz63,baseline,Baseline,16,0.08,0.01,2,1,0.9333333333333333,0.35952257012087746,0.686515512022981,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.01,2,5,1.0,0.01736571567155482,0.9829307048546532,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.01,2,5,1.0,0.0134022027796667,0.9867750408052146,0.1,ok
lorenz63,baseline,Baseline,16,0.08,0.01,3,1,0.9333333333333333,0.3669746789905748,0.6827729494027948,0.3,ok
