system,noise,sparse_factor,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
advection_diffusion,0.5,16,baseline,5,5,-0.10888888888888888,0.060491811505849764,1,1,1,-0.023203380486314006,0.01448212759812632,4,0,4,-0.05276106232572784,0.030682468478589388,2,0,2
lorenz63,0.05,16,tv_diff,5,5,0.09240573152337861,0.07964499798094478,3,0,3,-0.3401674003630831,0.23515295177415288,4,0,4,0.2483097514022563,0.09769772379138551,4,0,4
lorenz63,0.1,16,tv_diff,5,5,0.06084166744847863,0.07840683809990164,3,0,3,-0.32840695199634745,0.2389142140984995,4,0,4,0.1294348469287375,0.10505461249791066,4,0,4
lorenz63,0.2,16,tv_diff,5,5,-0.0779661162710698,0.12798706003843763,2,0,2,-0.23976060995899715,0.22740565147861988,3,0,3,0.03225411145963884,0.13016784714834218,2,0,2
lorenz63,0.5,16,tv_diff,5,5,0.03787545787545785,0.04019027855071129,3,1,3,0.15185708174090748,0.18876492457969213,2,0,2,-0.0030121360396919207,0.045986916308309235,3,0,3
lorenz63,0.05,64,tv_diff,5,5,-0.017310776942355943,0.0591118942991839,3,0,3,0.07773668964862504,0.04806852685234479,1,0,1,-0.01731772946214486,0.03078737380603954,2,0,2
lorenz63,0.1,64,tv_diff,5,5,0.00332560032560032,0.0467274161841929,3,0,3,0.13090990112914516,0.056359452771158496,0,0,0,-0.012504286253812353,0.027084893993701432,3,0,3
lorenz63,0.2,64,tv_diff,5,5,0.10022111222111219,0.09403821938542174,2,0,2,-5.609380890699392,5.795075222000458,2,0,2,0.0645911383325175,0.07576188449061182,2,0,2
lorenz63,0.5,64,tv_diff,5,5,0.02015374730217311,0.06891595323365594,2,0,2,-27.445512825258657,18.886684394413894,2,0,2,0.048349174553782584,0.08284503220238358,2,0,2
vanderpol_mu2,0.05,16,tv_diff,5,5,0.0,0.0,0,5,0,-0.0250252353034847,0.00941485763433418,4,0,4,0.023514335677219878,0.008839161311975766,4,0,4
vanderpol_mu2,0.1,16,tv_diff,5,5,0.0,0.0,0,5,0,-0.0243983617598742,0.008727301668801497,5,0,5,0.021910236810639572,0.007712188087509384,5,0,5
vanderpol_mu2,0.2,16,tv_diff,5,5,0.02142857142857142,0.02142857142857142,1,4,1,-0.08836279040624251,0.019099217078502845,5,0,5,0.07784486794762076,0.01884609452783273,5,0,5
vanderpol_mu2,0.5,16,tv_diff,5,5,-0.4308399787347156,0.0898524806510246,0,0,0,1.2670279314716701,0.3174820593270963,0,0,0,-0.4706651824980409,0.07466627246650341,0,0,0
vanderpol_mu2,0.05,64,tv_diff,5,5,0.02857142857142858,0.02857142857142858,1,4,1,-0.3029305854332113,0.0378302909482214,5,0,5,0.23680204581290737,0.04055141766956135,5,0,5
