system,sparse_factor,noise,seed,comparator,support_f1_edmd,support_f1_other,support_f1_delta,coef_error_edmd,coef_error_other,coef_error_delta,practical_score_edmd,practical_score_other,practical_score_delta
lorenz63,64,0.1,3,baseline,0.375,0.6153846153846154,-0.24038461538461542,1.1821391785065791,1.025493423572421,0.15664575493415822,0.1718497168712419,0.3038196067303166,-0.1319698898590747
lorenz63,64,0.1,4,baseline,0.5,0.6666666666666666,-0.16666666666666663,1.326998137810501,1.0306265036778393,0.29637163413266165,0.2148691019024432,0.3283059023701357,-0.11343680046769247
lorenz63,64,0.2,0,baseline,0.4,0.6153846153846154,-0.2153846153846154,1.1991834578744072,1.0236688441721924,0.17551461370221477,0.181885689694399,0.3040935364285584,-0.12220784673415941
lorenz63,64,0.2,1,baseline,0.6666666666666666,0.5454545454545454,0.12121212121212122,0.8790367863682423,1.1046489611063277,-0.22561217473808537,0.3547917057841023,0.2591665192317023,0.09562518655239999
lorenz63,64,0.2,3,baseline,0.4615384615384615,0.6666666666666666,-0.20512820512820512,1.0632347317974182,1.0237996106704652,0.03943512112695302,0.2236965355543357,0.3294133782572507,-0.10571684270291501
lorenz63,64,0.2,2,baseline,0.4761904761904761,0.7058823529411765,-0.2296918767507004,1.5994317285629085,1.030334050351425,0.5690976782114836,0.1831902222928306,0.3476680858595645,-0.16447786356673388
lorenz63,64,0.2,4,baseline,0.6666666666666666,0.4,0.2666666666666666,1.0174969041599526,0.972972657557366,0.04452424660258669,0.3304424731914292,0.2027397584390343,0.12770271475239492
lorenz63,64,0.5,0,baseline,0.4137931034482758,0.6,-0.18620689655172418,1.4347445644290318,1.0336276012303398,0.40111696319869194,0.1699533944930744,0.2950392685647074,-0.12508587407163302
lorenz63,64,0.5,1,baseline,0.3846153846153846,0.4285714285714285,-0.04395604395604391,1.7987661794041925,1.0213224979334043,0.7774436814707881,0.1374231929218404,0.2120252601994976,-0.0746020672776572
lorenz63,64,0.5,2,baseline,0.48,0.6153846153846154,-0.13538461538461544,1.5295091596047126,1.0121520558113168,0.5173571037933957,0.1897601351540509,0.3058340514611293,-0.11607391630707839
lorenz63,64,0.5,3,baseline,0.5263157894736842,0.5,0.02631578947368418,1.1917502195274126,1.0152246089455048,0.17652561058190774,0.2401349317930803,0.248111301231892,-0.00797636943881172
lorenz63,64,0.5,4,baseline,0.5454545454545454,0.5714285714285714,-0.025974025974025983,1.0169764471625942,1.0276747953960237,-0.010698348233429522,0.2704317872535746,0.2818147035836513,-0.011382916330076709
