setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_poly3,residual_corrected,13,64,0.1,0.625,1.207444439194372,0.283132834015111,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,13,64,0.1,0.5454545454545454,1.0476516147299415,0.2663805412653088,1.0,ok
ODE,lorenz63,edmd_rbf,baseline,13,64,0.1,0.6666666666666666,1.0268617937249156,0.3289157004836938,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,13,64,0.1,0.5,1.0723315680137673,0.24127413186067834,1.0,ok
ODE,lorenz63,edmd_rbf,global_rollout,13,64,0.1,0.42857142857142855,1.334085340477634,0.18361429256212547,0.1,ok
ODE,lorenz63,edmd_rbf,residual_corrected,13,64,0.1,0.631578947368421,1.1139259571525815,0.29877060983684883,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,13,64,0.1,0.5882352941176471,1.5718105924423567,0.22872418981641296,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,14,64,0.1,0.6153846153846154,1.030016317985348,0.30314269394412674,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,14,64,0.1,0.5555555555555556,1.2475533632570817,0.24718236489409195,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,14,64,0.1,0.4,1.426289167218162,0.16486081107084863,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,14,64,0.1,0.6153846153846154,1.065980287727199,0.29786567618300214,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,14,64,0.1,0.26666666666666666,1.6420264265124083,0.10093262655918188,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,14,64,0.1,0.6153846153846154,1.030016317985348,0.30314269394412674,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,14,64,0.1,0.4666666666666667,1.1121191921373896,0.22094712666022254,0.03,ok
ODE,lorenz63,edmd_rbf,global_rollout,14,64,0.1,0.6153846153846154,1.0021285162816036,0.3073651917847517,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,14,64,0.1,0.4,1.0297439229262726,0.19706919453332902,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,14,64,0.1,0.4,1.0236095257179345,0.197666592747476,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,15,64,0.1,0.7272727272727273,1.022324052830262,0.3596222505759658,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,15,64,0.1,0.5333333333333333,1.1102356443439638,0.25273638740906473,1.0,ok
ODE,lorenz63,edmd_poly3,global_rollout,15,64,0.1,0.38461538461538464,1.3589269880098351,0.1630467524303813,0.3,ok
ODE,lorenz63,edmd_poly3,residual_corrected,15,64,0.1,0.6153846153846154,1.0582566093026446,0.29898342733519173,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,15,64,0.1,0.5333333333333333,2.524238757392894,0.15133291755972694,1.0,ok
ODE,lorenz63,edmd_rbf,baseline,15,64,0.1,0.7272727272727273,1.022324052830262,0.3596222505759658,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,15,64,0.1,0.47058823529411764,1.4308744145455905,0.19358804900749507,0.3,ok
ODE,lorenz63,edmd_rbf,global_rollout,15,64,0.1,0.4,1.717083232978281,0.14721668999500886,0.1,ok
ODE,lorenz63,edmd_rbf,residual_corrected,15,64,0.1,0.6153846153846154,1.0968675033191142,0.29347806402194143,1.0,ok
ODE,lorenz63,edmd_rbf,two_sided,15,64,0.1,0.36363636363636365,1.0154577411881116,0.18042371030910337,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,16,64,0.1,0.6666666666666666,1.0243447565988724,0.3293246688803847,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,16,64,0.1,0.5,1.112164817224416,0.23672395067021673,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,16,64,0.1,0.5,1.3796106364639142,0.210118408590994,0.3,ok
ODE,lorenz63,edmd_poly3,residual_corrected,16,64,0.1,0.6666666666666666,1.0550354742746948,0.32440640320428543,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,16,64,0.1,0.6666666666666666,1.0229329684728874,0.32955450183301593,1.0,ok
ODE,lorenz63,edmd_rbf,baseline,16,64,0.1,0.6666666666666666,1.0243447565988724,0.3293246688803847,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,16,64,0.1,0.6,1.5019798854596105,0.2398100814027051,0.3,ok
ODE,lorenz63,edmd_rbf,global_rollout,16,64,0.1,0.5555555555555556,2.8134528949945707,0.14568307800124183,0.1,ok
